A,T,E_res,S
0.1,0.1,0.08005329775748966,0.20213959170981277
0.1,0.35789473684210527,0.024583268523184643,0.09109795288287748
0.1,0.6157894736842106,0.010705909834216173,0.048572277926365016
0.1,0.8736842105263158,0.0063711716981367334,0.03221246498831535
0.1,1.1315789473684212,0.004655610643608482,0.024999149587771385
0.1,1.3894736842105266,0.003970298820880733,0.021951440406894732
0.1,1.6473684210526318,0.003867917708656316,0.021486433629578205
0.1,1.905263157894737,0.004290732755199245,0.023390061836666764
0.1,2.1631578947368424,0.0054924173500908325,0.028584664365662107
0.1,2.421052631578948,0.008415319710220968,0.04020588525886225
0.1,2.678947368421053,0.016722495815451485,0.06841173725740878
0.1,2.936842105263158,0.04917616891479394,0.14813564283078887
0.1,3.1947368421052635,0.09341069977263629,0.22145335873155592
0.1,3.452631578947369,0.02992549258544016,0.10500988717195416
0.1,3.710526315789474,0.012112611676970201,0.05345910952838678
0.1,3.9684210526315793,0.00688014799344463,0.03425704887855815
0.1,4.226315789473684,0.00486757840959186,0.025920627574405344
0.1,4.484210526315789,0.004045176753570532,0.022289854434791808
0.1,4.742105263157895,0.0038494214036840723,0.021402137944365515
0.1,5.0,0.004168682552364256,0.022845027482269797
0.35789473684210527,0.1,0.28650653934259457,0.35813143169053996
0.35789473684210527,0.35789473684210527,0.08798222418823978,0.21385139623152366
0.35789473684210527,0.6157894736842106,0.038315887827721044,0.12498223598435854
0.35789473684210527,0.8736842105263158,0.022802088182805148,0.08621248727067707
0.35789473684210527,1.1315789473684212,0.01666218546133562,0.06822520904119664
0.35789473684210527,1.3894736842105266,0.014209490516836308,0.06044497290675857
0.35789473684210527,1.6473684210526318,0.013843073904664709,0.05924794448765403
0.35789473684210527,1.905263157894737,0.01535630670281835,0.0641314538337679
0.35789473684210527,2.1631578947368424,0.019657072621377714,0.07723889076426585
0.35789473684210527,2.421052631578948,0.030117986331317147,0.10549224478079472
0.35789473684210527,2.678947368421053,0.05984893239214215,0.16853050504822828
0.35789473684210527,2.936842105263158,0.17599892032663095,0.3057589499586587
0.35789473684210527,3.1947368421052635,0.33431197813364566,0.36629916741166635
0.35789473684210527,3.452631578947369,0.10710176293736477,0.239262750930322
0.35789473684210527,3.710526315789474,0.04335039968599861,0.13605260046511658
